timeline_s,gpu_util_pct_mean,gpu_util_pct_std,gpu_mem_mb_mean,gpu_mem_mb_std,cpu_util_pct_mean,cpu_util_pct_std,num_samples
54.5,98.000000,2.828427,10923.250000,0.000000,0.500000,0.000000,3
55.0,97.333333,2.357023,10923.250000,0.000000,0.533333,0.047140,3
55.5,97.333333,2.357023,10923.250000,0.000000,0.500000,0.000000,3
56.0,94.000000,0.000000,10923.250000,0.000000,0.500000,0.000000,3
56.5,94.000000,0.000000,10923.250000,0.000000,0.500000,0.000000,2
57.0,94.000000,0.000000,10923.250000,0.000000,0.500000,0.000000,1
57.5,94.333333,0.471405,10923.250000,0.000000,0.500000,0.000000,3
58.0,95.333333,1.885618,10923.250000,0.000000,0.533333,0.047140,3
58.5,96.000000,2.828427,10923.250000,0.000000,0.500000,0.000000,3
59.0,96.000000,2.828427,10923.250000,0.000000,0.500000,0.000000,3
59.5,96.666667,2.357023,10923.250000,0.000000,0.500000,0.000000,3
60.0,97.000000,2.000000,10923.250000,0.000000,0.550000,0.050000,2
60.5,99.000000,0.000000,10923.250000,0.000000,0.500000,0.000000,1
61.0,100.000000,0.000000,10923.250000,0.000000,0.500000,0.000000,3
61.5,99.666667,0.471405,10923.250000,0.000000,0.500000,0.000000,3
62.0,98.333333,2.357023,10923.250000,0.000000,0.500000,0.000000,3
62.5,98.000000,2.828427,10923.250000,0.000000,0.533333,0.047140,3
63.0,99.500000,0.500000,10923.250000,0.000000,0.500000,0.000000,2
63.5,94.500000,0.500000,10923.250000,0.000000,0.500000,0.000000,2
64.0,96.500000,2.500000,10923.250000,0.000000,0.500000,0.000000,2
64.5,95.666667,2.357023,10923.250000,0.000000,0.500000,0.000000,3
65.0,94.333333,0.471405,10923.250000,0.000000,0.533333,0.047140,3
65.5,94.000000,0.000000,10923.250000,0.000000,0.500000,0.000000,3
66.0,94.333333,0.471405,10923.250000,0.000000,0.500000,0.000000,3
66.5,94.000000,0.000000,10923.250000,0.000000,0.500000,0.000000,2
67.0,95.000000,0.000000,10923.250000,0.000000,0.500000,0.000000,2
67.5,97.000000,3.000000,10923.250000,0.000000,0.550000,0.050000,2
68.0,96.333333,2.624669,10923.250000,0.000000,0.533333,0.047140,3
68.5,98.000000,2.828427,10923.250000,0.000000,0.500000,0.000000,3
69.0,98.333333,2.357023,10923.250000,0.000000,0.500000,0.000000,3
69.5,99.666667,0.471405,10923.250000,0.000000,0.500000,0.000000,3
70.0,100.000000,0.000000,10923.250000,0.000000,0.500000,0.000000,2
70.5,99.500000,0.500000,10923.250000,0.000000,0.500000,0.000000,2
71.0,99.500000,0.500000,10923.250000,0.000000,0.500000,0.000000,2
71.5,97.666667,2.624669,10923.250000,0.000000,0.500000,0.000000,3
72.0,96.000000,2.828427,10923.250000,0.000000,0.500000,0.000000,3
72.5,95.666667,2.357023,10923.250000,0.000000,0.533333,0.047140,3
73.0,95.666667,2.357023,10923.250000,0.000000,0.500000,0.000000,3
73.5,94.000000,0.000000,10923.250000,0.000000,0.500000,0.000000,1
74.0,95.666667,2.357023,10923.250000,0.000000,0.500000,0.000000,3
74.5,94.500000,0.500000,10923.250000,0.000000,0.500000,0.000000,2
75.0,94.000000,0.000000,10923.250000,0.000000,0.533333,0.047140,3
75.5,94.666667,0.471405,10923.250000,0.000000,0.500000,0.000000,3
76.0,95.666667,1.699673,10923.250000,0.000000,0.500000,0.000000,3
76.5,98.000000,2.828427,10923.250000,0.000000,0.500000,0.000000,3
77.0,100.000000,0.000000,10923.250000,0.000000,0.500000,0.000000,1
77.5,98.000000,2.828427,10923.250000,0.000000,0.533333,0.047140,3
78.0,97.000000,3.000000,10923.250000,0.000000,0.550000,0.050000,2
78.5,98.333333,2.357023,10923.250000,0.000000,0.500000,0.000000,3
79.0,98.000000,2.160247,10923.250000,0.000000,0.500000,0.000000,3
79.5,99.333333,0.471405,10923.250000,0.000000,0.533333,0.047140,3
80.0,97.000000,3.000000,10923.250000,0.000000,0.500000,0.000000,2
80.5,94.500000,0.500000,10923.250000,0.000000,0.500000,0.000000,2
