timeline_s,gpu_util_pct,gpu_mem_util_pct,gpu_mem_mb,cpu_util_pct,sys_mem_pct,sys_mem_mb
69.4411,95,40,6111.25,0.5,3.4,17530.05
70.0727,95,41,6111.25,0.5,3.4,17530.04
70.7052,95,41,6111.25,0.5,3.4,17530.04
71.3366,95,44,6111.25,0.5,3.4,17530.04
71.9684,92,42,6111.25,0.5,3.4,17515.27
72.5991,91,47,6111.25,0.6,3.4,17514.29
73.2325,95,40,6111.25,0.5,3.4,17513.60
73.8624,95,42,6111.25,0.5,3.4,17513.60
74.4976,95,40,6111.25,0.5,3.4,17513.60
75.1273,95,44,6111.25,0.5,3.4,17513.59
75.7585,94,41,6111.25,0.5,3.4,17513.59
76.3878,91,48,6111.25,0.5,3.4,17513.34
77.0187,95,43,6111.25,0.5,3.4,17513.34
77.6518,95,46,6111.25,0.5,3.4,17513.34
78.2814,95,41,6111.25,0.6,3.4,17513.34
78.9145,95,43,6111.25,0.5,3.4,17513.34
79.5467,95,44,6111.25,0.5,3.4,17513.34
80.1768,92,46,6111.25,0.5,3.4,17513.34
80.8079,95,46,6111.25,0.5,3.4,17513.34
81.4377,95,40,6111.25,0.5,3.4,17513.34
82.0743,95,41,6111.25,0.5,3.4,17513.34
82.7030,95,41,6111.25,0.5,3.4,17513.32
83.3358,95,44,6111.25,0.5,3.4,17513.32
83.9653,92,43,6111.25,0.6,3.4,17513.32
84.5970,91,47,6111.25,0.5,3.4,17513.32
85.2302,95,40,6111.25,0.5,3.4,17513.32
85.8625,94,41,6111.25,0.5,3.4,17513.32
86.4955,95,41,6111.25,0.5,3.4,17513.32
87.1268,95,44,6111.25,0.6,3.4,17513.32
87.7568,93,41,6111.25,0.5,3.4,17513.29
88.3924,91,47,6111.25,0.6,3.4,17513.29
89.0234,95,40,6111.25,0.5,3.4,17513.29
89.6551,95,43,6111.25,0.6,3.4,17513.29
90.2903,95,41,6111.25,0.5,3.4,17513.29
90.9194,95,44,6111.25,0.5,3.4,17513.29
91.5534,95,42,6111.25,0.5,3.4,17513.29
92.1871,91,47,6111.25,0.5,3.4,17513.29
92.8180,95,41,6111.25,0.5,3.4,17513.29
93.4519,95,44,6111.25,0.5,3.4,17513.29
94.0823,95,41,6111.25,0.5,3.4,17507.13
94.7136,95,43,6111.25,0.5,3.4,17507.13
95.3482,95,43,6111.25,0.5,3.4,17507.13
95.9757,91,48,6111.25,0.5,3.4,17507.13
96.6088,95,44,6111.25,0.5,3.4,17507.13
97.2359,95,40,6111.25,0.5,3.4,17507.13
97.8691,95,40,6111.25,0.6,3.4,17507.13
98.4973,95,41,6111.25,0.5,3.4,17507.13
99.1306,95,44,6111.25,0.5,3.4,17507.12
99.7637,92,44,6111.25,0.5,3.4,17507.12
100.3953,93,48,6111.25,0.5,3.4,17507.12
101.0281,95,40,6111.25,0.5,3.4,17506.88
101.6589,95,41,6111.25,0.5,3.4,17506.88
102.2916,95,41,6111.25,0.5,3.4,17506.88
102.9236,95,44,6111.25,0.5,3.4,17506.88
103.5528,92,41,6111.25,0.5,3.4,17506.88
104.1865,91,47,6111.25,0.5,3.4,17506.88
104.8172,95,41,6111.25,0.5,3.4,17506.88
105.4503,95,43,6111.25,0.5,3.4,17506.88
106.0845,95,40,6111.25,0.5,3.4,17506.88
106.7132,95,44,6111.25,0.5,3.4,17506.88
107.3483,95,42,6111.25,0.5,3.4,17506.88
107.9848,91,47,6111.25,0.6,3.4,17506.88
108.6159,95,41,6111.25,0.5,3.4,17506.88
109.2479,95,44,6111.25,0.5,3.4,17506.88
109.8968,95,41,6111.25,0.5,3.4,17506.88
110.5304,95,43,6111.25,0.5,3.4,17506.88
111.1630,92,44,6111.25,0.5,3.4,17506.88
111.7889,93,48,6111.25,0.5,3.4,17506.88
112.4264,95,40,6111.25,0.5,3.4,17506.88
113.0574,95,40,6111.25,0.5,3.4,17506.88
113.6894,95,41,6111.25,0.5,3.4,17506.88
114.3223,95,44,6111.25,0.5,3.4,17506.88
114.9567,90,41,6111.25,0.5,3.4,17506.88
115.5884,92,47,6111.25,0.5,3.4,17506.88
116.2255,95,40,6111.25,0.5,3.4,17506.88
116.8584,95,41,6111.25,0.6,3.4,17506.88
